track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability_%,energy_%
Blinding Lights,The Weeknd,1,2019,11,29,3703895074,50,80
Shape of You,Ed Sheeran,1,2017,1,6,3562543890,83,65
Someone You Loved,Lewis Capaldi,1,2018,11,8,2887241814,50,41
Dance Monkey,Tones and I,1,2019,5,10,2864791672,82,59
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,2808096550,76,50
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,2713922350,77,63
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,2665343922,59,76
Believer,Imagine Dragons,1,2017,1,31,2594040133,77,78
Closer,"The Chainsmokers, Halsey",2,2016,5,31,2591224264,75,52
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,2565529693,68,59
Perfect,Ed Sheeran,1,2017,1,1,2559529074,60,45
Heat Waves,Glass Animals,1,2020,6,28,2557975762,76,53
As It Was,Harry Styles,1,2022,3,31,2513188493,52,73
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,2484812918,76,52
Say You Won't Let Go,James Arthur,1,2016,9,9,2420461338,40,56
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,2355719893,35,30
Watermelon Sugar,Harry Styles,1,2019,11,17,2322580122,55,82
Don't Start Now,Dua Lipa,1,2019,10,31,2303033973,79,79
Lucid Dreams,Juice WRLD,1,2017,6,15,2288695111,44,48
Sweater Weather,The Neighbourhood,1,2012,5,14,2282771485,61,81
Thinking Out Loud,Ed Sheeran,1,2014,1,1,2280566092,78,45
Photograph,Ed Sheeran,1,2014,6,20,2236667932,61,38
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,2204080728,61,65
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,2197010679,41,40
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,2159346687,57,40
Take Me To Church,Hozier,1,2013,9,13,2135158446,57,66
Circles,Post Malone,1,2019,8,30,2132335812,70,75
Love Yourself,Justin Bieber,1,2015,11,9,2123309722,61,38
All of Me,John Legend,1,2013,8,1,2086124197,42,26
Counting Stars,OneRepublic,1,2013,1,1,2011464183,66,71
Riptide,Vance Joy,1,1975,1,1,2009094673,48,73
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,1970673297,53,78
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,1953533826,63,93
The Hills,The Weeknd,1,2015,5,27,1947371785,36,57
HUMBLE.,Kendrick Lamar,1,2017,3,30,1929770265,91,60
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,1897517891,79,86
good 4 u,Olivia Rodrigo,1,2021,5,14,1887039593,56,66
drivers license,Olivia Rodrigo,1,2021,1,8,1858144199,59,43
Demons,Imagine Dragons,1,2012,1,1,1840364617,33,71
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,1829992958,70,73
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,1814349763,74,70
Another Love,Tom Odell,1,2012,10,15,1813673666,45,54
Mr. Brightside,The Killers,1,2003,9,23,1806617704,35,93
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,1802514301,70,83
No Role Modelz,J. Cole,1,2014,12,9,1791000570,70,52
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,1788326445,55,53
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,1763363713,73,57
Memories,Maroon 5,1,2019,9,20,1759567999,77,32
Yellow,Chris Molitor,1,1999,1,1,1755214421,43,66
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,1735441776,61,51
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,1714490998,86,80
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,1699402402,70,72
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,1695712020,55,85
Dynamite,BTS,1,2020,8,21,1692897992,75,77
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,1690192927,52,91
Without Me,Eminem,1,2002,1,1,1687664027,92,66
When I Was Your Man,Bruno Mars,1,2012,12,5,1661187319,60,27
Die For You,The Weeknd,1,2016,11,24,1647990401,59,52
Just The Way You Are,Bruno Mars,1,2010,1,1,1641426668,63,85
In The End,Linkin Park,1,2000,10,24,1624165576,55,90
The Scientist,Coldplay,1,2002,8,5,1608164312,56,44
Before You Go,Lewis Capaldi,1,2019,11,1,1608045237,45,60
I'm Not The Only One,Sam Smith,1,2014,1,1,1606986953,68,49
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,1605224506,80,80
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,1593270737,82,45
Viva La Vida,Coldplay,1,2008,1,1,1592909789,49,62
Save Your Tears,The Weeknd,1,2020,3,20,1591223784,68,82
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,1575467011,77,66
Bad Habits,Ed Sheeran,1,2020,9,3,1555511105,81,90
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,1553497987,45,90
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1481349984,73,70
Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,1479264469,74,74
Take On Me,a-ha,1,1984,10,19,1479115056,57,90
Rolling in the Deep,Adele,1,2010,11,29,1472799873,73,76
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1,1457139296,86,52
The Nights,Avicii,1,2014,1,1,1456081449,53,85
Call Out My Name,The Weeknd,1,2018,3,29,1449799467,45,60
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,1449779435,34,63
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,1445941661,63,68
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,1440757818,91,71
Adore You,Harry Styles,1,2019,12,6,1439191367,68,77
LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28,1435127549,75,65
The Real Slim Shady,Eminem,1,2000,1,1,1424589568,95,66
The Night We Met,Lord Huron,1,2015,2,2,1410088830,45,37
Easy On Me,Adele,1,2021,10,14,1406111294,60,37
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,1374581173,65,55
Beggin,Mï¿½ï¿½ne,1,2017,12,8,1367810478,71,80
Numb,Linkin Park,1,2003,3,24,1361425037,50,86
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,1357608774,63,61
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,1356565093,62,78
Blank Space,Taylor Swift,1,2014,1,1,1355959075,75,68
Woman,Doja Cat,1,2021,6,25,1329090101,82,76
Flowers,Miley Cyrus,1,2023,1,12,1316855716,71,68
